CODIGO_WMO,ESTACAO,ibge,municipio_ibge,uf,distancia_check
A609,RESENDE,3304201,Resende,RJ,0.0
A611,VALENCA,3306107,Valença,RJ,0.0
A614,LINHARES,3203205,Linhares,ES,0.0
A637,Paty do Alferes - Avelar,3303856,Paty do Alferes,RJ,0.0
A502,BARBACENA,3105608,Barbacena,MG,0.0
A616,SAO MATEUS,3204906,São Mateus,ES,0.0
A634,VILA VELHA,3205200,Vila Velha,ES,0.0
A521,BELO HORIZONTE (PAMPULHA),3106200,Belo Horizonte,MG,0.0
A763,MARILIA,3529005,Marília,SP,0.0
A512,ITUIUTABA,3134202,Ituiutaba,MG,0.0
A523,PATROCINIO,3148103,Patrocínio,MG,0.0
A537,DIAMANTINA,3121605,Diamantina,MG,0.0
A705,BAURU,3506003,Bauru,SP,0.0
A714,ITAPEVA,3522406,Itapeva,SP,0.0
A739,ITAPIRA,3522604,Itapira,SP,0.0
A554,CARATINGA,3113404,Caratinga,MG,0.0
A715,SAO MIGUEL ARCANJO,3550209,São Miguel Arcanjo,SP,0.0
A755,BARUERI,3505708,Barueri,SP,0.0
