CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A729,VOTUPORANGA,SP,SE,-20.40333333,-49.96611111,510.37,04/12/06,2008-01-01 00:00:00,2013-04-01 05:00:00,46014.0,44186.0,1828.0,0.0,3.97270395966445,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A507,UBERLANDIA,MG,SE,-18.91694443,-48.25555555,874.77,18/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130478.0,1018.0,1740.0,0.7741680355295979,False,incluida,,alta
A748,BARRETOS,SP,SE,-20.55916666,-48.54499999,534.36,19/06/10,2010-06-19 00:00:00,2022-12-31 23:00:00,109896.0,109712.0,184.0,13359.0,0.1674310256970226,False,incluida,,alta
A762,DRACENA,SP,SE,-21.45777777,-51.55222222,720.0,03/11/16,2016-11-03 00:00:00,2022-12-31 23:00:00,54000.0,51750.0,2250.0,1575.0,4.166666666666667,False,incluida,,alta
A771,SAO PAULO - INTERLAGOS,SP,SE,-23.724501,-46.677501,771.0,14/03/18,2018-03-14 00:00:00,2022-12-31 23:00:00,42096.0,42041.0,55.0,473.0,0.1306537438236412,False,incluida,,alta
A522,SERRA DOS AIMORES,MG,SE,-17.79888888,-40.25,211.97,21/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130164.0,1332.0,10720.0,1.0129585690819494,False,incluida,,alta
A543,ESPINOSA,MG,SE,-14.91222222,-42.80861111,565.36,14/11/07,2008-01-01 00:00:00,2013-03-01 05:00:00,45270.0,45171.0,99.0,0.0,0.2186878727634194,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A560,POMPEU,MG,SE,-19.23249999,-44.96416666,705.0,21/08/15,,,,,,,,,,,excluida
A610,PICO DO COUTO,RJ,SE,-22.46472222,-43.29138888,1777.0,22/10/06,,,,,,,,,excluida_cronica,instabilidade cronica (33 obstaculos longo/extremo),excluida
A625,TRES RIOS,RJ,SE,-22.09833333,-43.20833333,295.0,08/06/16,2016-06-08 00:00:00,2022-12-31 23:00:00,57552.0,57124.0,428.0,1229.0,0.7436752849596886,False,incluida,,alta
