CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A505,ARAXA,MG,SE,-19.60583333,-46.94972221,1018.32,19/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130693.0,803.0,9536.0,0.6106649631927967,False,incluida,,alta
A513,OURO BRANCO,MG,SE,-20.55666666,-43.75611111,1048.2,28/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130055.0,1441.0,7548.0,1.0958508243596763,False,incluida,,alta
A623,NOVA VENECIA,ES,SE,-18.69527777,-40.39055555,156.02,22/06/08,2008-06-22 00:00:00,2022-12-31 23:00:00,127344.0,121087.0,6257.0,8632.0,4.913462746576203,False,incluida,,alta
A667,SAQUAREMA - SAMPAIO CORREIA,RJ,SE,-22.8711111,-42.60888888,26.0,02/09/15,2015-09-02 00:00:00,2022-12-31 23:00:00,64272.0,61420.0,2852.0,1799.0,4.437391087876525,False,incluida,,alta
A746,BARRA DO TURVO,SP,SE,-24.96277777,-48.41638888,659.89,03/07/08,,,,,,,,,,,excluida
A626,RIO CLARO,RJ,SE,-22.653579,-44.040916,516.0,03/06/16,2016-06-03 00:00:00,2022-12-31 23:00:00,57672.0,56120.0,1552.0,94.0,2.691080593702317,False,incluida,,alta
A627,NITEROI,RJ,SE,-22.86749999,-43.10194444,6.0,13/07/18,2018-07-13 00:00:00,2022-12-31 23:00:00,39192.0,38034.0,1158.0,0.0,2.954684629516228,False,incluida,,alta
A747,PRADOPOLIS,SP,SE,-21.33833333,-48.11388888,540.41,22/04/08,2008-04-22 00:00:00,2022-12-31 23:00:00,128808.0,128083.0,725.0,7250.0,0.5628532389292591,False,incluida,,alta
A766,REGISTRO,SP,SE,-24.53305554,-47.86416666,35.0,09/02/17,,,,,,,,,,,excluida
A535,FLORESTAL,MG,SE,-19.88527777,-44.41694443,753.5,27/06/08,2008-06-27 00:00:00,2022-12-31 23:00:00,127224.0,126286.0,938.0,3122.0,0.7372822737848205,False,incluida,,alta
A604,CAMBUCI,RJ,SE,-21.58749999,-41.95833333,46.0,20/11/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129363.0,2133.0,12990.0,1.622102573462311,False,incluida,,alta
A609,RESENDE,RJ,SE,-22.45138888,-44.44499999,438.83,29/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130364.0,1132.0,8719.0,0.8608626878384134,False,incluida,,alta
A611,VALENCA,RJ,SE,-22.35805555,-43.69555555,370.0,27/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129599.0,1897.0,14392.0,1.4426294335949383,False,incluida,,alta
A614,LINHARES,ES,SE,-19.35694444,-40.0686111,40.0,27/10/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128168.0,3328.0,2040.0,2.530875463892438,False,incluida,,alta
A637,Paty do Alferes - Avelar,RJ,SE,-22.34722221,-43.41777777,508.0,10/11/22,2022-11-10 00:00:00,2022-12-31 23:00:00,1248.0,1207.0,41.0,0.0,3.28525641025641,False,incluida,,alta
A502,BARBACENA,MG,SE,-21.22833332,-43.76777777,1168.76,05/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131260.0,236.0,3508.0,0.1794731398673724,False,incluida,,alta
A616,SAO MATEUS,ES,SE,-18.6761111,-39.86416666,28.66,25/10/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129727.0,1769.0,6297.0,1.3452880695990752,False,incluida,,alta
A634,VILA VELHA,ES,SE,-20.46694443,-40.40388888,25.0,15/02/17,2017-02-15 00:00:00,2022-12-31 23:00:00,51504.0,50108.0,1396.0,2838.0,2.710469089779435,False,incluida,,alta
S122,EB_PEF_BONFIM,MG,SE,3.35888888,-59.82388888,,2016-12-01,,,,,,,,,,,excluida
A521,BELO HORIZONTE (PAMPULHA),MG,SE,-19.88388888,-43.96944443,854.02,10/10/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131243.0,253.0,221.0,0.1924012897730729,False,incluida,,alta
A763,MARILIA,SP,SE,-22.235222,-49.965111,660.0,15/05/17,2017-05-15 00:00:00,2022-12-31 23:00:00,49368.0,48086.0,1282.0,0.0,2.596823853508345,False,incluida,,alta
A512,ITUIUTABA,MG,SE,-18.95277777,-49.52499999,540.08,12/05/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130382.0,1114.0,15635.0,0.8471740585264951,False,incluida,,alta
A523,PATROCINIO,MG,SE,-18.996684,-46.985935,978.11,22/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130447.0,1049.0,6585.0,0.7977428971223459,False,incluida,,alta
A537,DIAMANTINA,MG,SE,-18.231052,-43.648269,1359.25,05/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129277.0,2219.0,77.0,1.687503802397031,False,incluida,,alta
A705,BAURU,SP,SE,-22.358052,-49.028877,636.17,30/08/01,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129407.0,2089.0,9285.0,1.5886414795887327,False,incluida,,alta
A714,ITAPEVA,SP,SE,-23.98194443,-48.88583333,743.33,25/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127649.0,3847.0,6684.0,2.9255642757194136,False,incluida,,alta
A739,ITAPIRA,SP,SE,-22.415,-46.80527777,634.89,05/11/07,2012-08-20 17:00:00,2016-06-01 05:00:00,33133.0,32616.0,517.0,0.0,1.5603778710047385,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A554,CARATINGA,MG,SE,-19.735757,-42.137146,609.25,24/05/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130082.0,1414.0,8324.0,1.075317880391799,False,incluida,,alta
A715,SAO MIGUEL ARCANJO,SP,SE,-23.85194444,-48.16472222,675.68,15/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127657.0,3839.0,18327.0,2.919480440469672,False,incluida,,alta
A755,BARUERI,SP,SE,-23.52388888,-46.86944443,776.5,29/03/11,2012-03-06 15:00:00,2016-05-23 00:00:00,36922.0,36827.0,95.0,0.0,0.2572991712258274,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
