CODIGO_WMO,status,out_path,total,n_orig_missing,n_imputed,n_remaining_na
A556,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A556.parquet,107521.0,33580.0,33580.0,0.0
A557,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A557.parquet,89449.0,33580.0,33580.0,0.0
A559,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A559.parquet,57169.0,33580.0,33580.0,0.0
A561,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A561.parquet,64633.0,33580.0,33580.0,0.0
A562,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A562.parquet,49417.0,33580.0,33580.0,0.0
A563,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A563.parquet,53593.0,33580.0,33580.0,0.0
A564,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A564.parquet,45409.0,33580.0,33580.0,0.0
A565,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A565.parquet,53497.0,33580.0,33580.0,0.0
A566,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A566.parquet,49249.0,33580.0,33580.0,0.0
A567,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A567.parquet,47737.0,33580.0,33580.0,0.0
A568,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A568.parquet,49249.0,33580.0,33580.0,0.0
A569,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A569.parquet,57481.0,33580.0,33580.0,0.0
A570,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A570.parquet,45577.0,33580.0,33580.0,0.0
A571,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A571.parquet,42025.0,33580.0,33580.0,0.0
A601,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A601.parquet,131473.0,33580.0,33580.0,0.0
A602,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A602.parquet,131473.0,33580.0,33580.0,0.0
A603,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A603.parquet,131473.0,33580.0,33580.0,0.0
A604,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A604.parquet,131473.0,33580.0,33580.0,0.0
A606,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A606.parquet,131473.0,33580.0,33580.0,0.0
A607,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A607.parquet,131473.0,33580.0,33580.0,0.0
A608,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A608.parquet,131473.0,33580.0,33580.0,0.0
A609,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A609.parquet,131473.0,33580.0,33580.0,0.0
A610,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A610.parquet,131473.0,33580.0,33580.0,0.0
A611,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A611.parquet,131473.0,33580.0,33580.0,0.0
A612,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A612.parquet,131473.0,33580.0,33580.0,0.0
A613,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A613.parquet,131473.0,33580.0,33580.0,0.0
A614,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A614.parquet,131473.0,33580.0,33580.0,0.0
A615,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A615.parquet,131473.0,33580.0,33580.0,0.0
A616,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A616.parquet,131473.0,33580.0,33580.0,0.0
A617,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A617.parquet,131473.0,33580.0,33580.0,0.0
A618,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A618.parquet,131473.0,33580.0,33580.0,0.0
A619,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A619.parquet,131473.0,33580.0,33580.0,0.0
A620,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A620.parquet,127537.0,33580.0,33580.0,0.0
A621,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A621.parquet,131473.0,33580.0,33580.0,0.0
A622,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A622.parquet,127417.0,33580.0,33580.0,0.0
A623,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A623.parquet,127321.0,33580.0,33580.0,0.0
A624,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A624.parquet,107713.0,33580.0,33580.0,0.0
A625,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A625.parquet,57529.0,33580.0,33580.0,0.0
A626,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A626.parquet,57649.0,33580.0,33580.0,0.0
A627,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A627.parquet,39169.0,33580.0,33580.0,0.0
A628,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A628.parquet,46897.0,33580.0,33580.0,0.0
A629,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A629.parquet,37009.0,33580.0,33580.0,0.0
A630,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A630.parquet,36889.0,33580.0,33580.0,0.0
A631,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A631.parquet,50761.0,33580.0,33580.0,0.0
A632,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A632.parquet,50641.0,33580.0,33580.0,0.0
A633,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A633.parquet,51601.0,33580.0,33580.0,0.0
A634,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A634.parquet,51481.0,33580.0,33580.0,0.0
A635,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A635.parquet,37969.0,25185.0,25185.0,0.0
A636,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A636.parquet,47257.0,33580.0,33580.0,0.0
A637,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A637.parquet,1225.0,1173.0,1173.0,0.0
A652,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A652.parquet,131473.0,33580.0,33580.0,0.0
A657,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A657.parquet,98785.0,33580.0,33580.0,0.0
A659,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A659.parquet,64369.0,33580.0,33580.0,0.0
A667,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A667.parquet,64249.0,33580.0,33580.0,0.0
A701,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A701.parquet,131473.0,33580.0,33580.0,0.0
A705,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A705.parquet,131473.0,33580.0,33580.0,0.0
A706,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A706.parquet,131473.0,33580.0,33580.0,0.0
A707,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A707.parquet,131473.0,33580.0,33580.0,0.0
A708,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A708.parquet,131473.0,33580.0,33580.0,0.0
A711,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A711.parquet,131473.0,33580.0,33580.0,0.0
A712,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A712.parquet,131473.0,33580.0,33580.0,0.0
A713,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A713.parquet,131473.0,33580.0,33580.0,0.0
A714,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A714.parquet,131473.0,33580.0,33580.0,0.0
A715,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A715.parquet,131473.0,33580.0,33580.0,0.0
A716,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A716.parquet,122713.0,25185.0,25185.0,0.0
A718,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A718.parquet,131473.0,33580.0,33580.0,0.0
A725,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A725.parquet,131473.0,33580.0,33580.0,0.0
A726,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A726.parquet,131473.0,33580.0,33580.0,0.0
A727,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A727.parquet,131473.0,33580.0,33580.0,0.0
A728,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A728.parquet,131473.0,33580.0,33580.0,0.0
A729,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A729.parquet,122713.0,25185.0,25185.0,0.0
A733,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A733.parquet,131473.0,33580.0,33580.0,0.0
A734,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A734.parquet,131473.0,33580.0,33580.0,0.0
A735,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A735.parquet,131473.0,33580.0,33580.0,0.0
A736,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A736.parquet,131473.0,33580.0,33580.0,0.0
A737,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A737.parquet,131473.0,33580.0,33580.0,0.0
A738,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A738.parquet,131473.0,33580.0,33580.0,0.0
A739,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A739.parquet,131473.0,33580.0,33580.0,0.0
A740,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A740.parquet,131473.0,33580.0,33580.0,0.0
A741,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A741.parquet,128737.0,33580.0,33580.0,0.0
