protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-F-3154804-12100-20220108,Rio Acima,MG,2022-01-08,12100,3154804,Sudeste,Inundações,Hidrológico,1
MG-A-3154903-12100-20081218,Rio Casca,MG,2008-12-18,12100,3154903,Sudeste,Inundações,Hidrológico,1
MG-P-3154903-12100-20101229,Rio Casca,MG,2010-12-29,12100,3154903,Sudeste,Inundações,Hidrológico,1
MG-A-3154903-12100-20120103,Rio Casca,MG,2012-01-03,12100,3154903,Sudeste,Inundações,Hidrológico,1
MG-F-3155009-12100-20190315,Rio Doce,MG,2019-03-15,12100,3155009,Sudeste,Inundações,Hidrológico,1
MG-A-3155207-12100-20120102,Rio Espera,MG,2012-01-02,12100,3155207,Sudeste,Inundações,Hidrológico,1
MG-A-3155603-12200-20110105,Rio Pardo de Minas,MG,2011-01-05,12200,3155603,Sudeste,Enxurradas,Hidrológico,1
MG-A-3155603-12200-20110322,Rio Pardo de Minas,MG,2011-03-22,12200,3155603,Sudeste,Enxurradas,Hidrológico,1
MG-A-3155603-12200-20120203,Rio Pardo de Minas,MG,2012-02-03,12200,3155603,Sudeste,Enxurradas,Hidrológico,1
MG-F-3155603-12100-20131128,Rio Pardo de Minas,MG,2013-12-05,12100,3155603,Sudeste,Inundações,Hidrológico,1
MG-A-3155702-12100-20090127,Rio Piracicaba,MG,2009-01-27,12100,3155702,Sudeste,Inundações,Hidrológico,1
MG-P-3155702-12100-20090304,Rio Piracicaba,MG,2009-03-04,12100,3155702,Sudeste,Inundações,Hidrológico,1
MG-A-3155702-12100-20120108,Rio Piracicaba,MG,2012-01-08,12100,3155702,Sudeste,Inundações,Hidrológico,1
MG-F-3155702-12300-20171118,Rio Piracicaba,MG,2017-11-18,12300,3155702,Sudeste,Alagamentos,Hidrológico,1
MG-A-3155801-12200-20101123,Rio Pomba,MG,2010-11-23,12200,3155801,Sudeste,Enxurradas,Hidrológico,1
MG-F-3155801-12300-20221003,Rio Pomba,MG,2022-10-03,12300,3155801,Sudeste,Alagamentos,Hidrológico,1
MG-A-3155900-12200-20090121,Rio Preto,MG,2009-01-21,12200,3155900,Sudeste,Enxurradas,Hidrológico,1
MG-N-3155900-12200-20090303,Rio Preto,MG,2009-03-03,12200,3155900,Sudeste,Enxurradas,Hidrológico,1
MG-D-3155900-12100-20111220,Rio Preto,MG,2011-12-20,12100,3155900,Sudeste,Inundações,Hidrológico,1
MG-F-3155900-12100-20180311,Rio Preto,MG,2018-03-11,12100,3155900,Sudeste,Inundações,Hidrológico,1
MG-A-3156304-12100-20120102,Rodeiro,MG,2012-01-02,12100,3156304,Sudeste,Inundações,Hidrológico,1
MG-A-3156452-12100-20090105,Rosário da Limeira,MG,2009-01-05,12100,3156452,Sudeste,Inundações,Hidrológico,1
MG-A-3156601-12200-20090330,Rubim,MG,2009-03-30,12200,3156601,Sudeste,Enxurradas,Hidrológico,1
MG-F-3156601-12100-20211208,Rubim,MG,2021-12-08,12100,3156601,Sudeste,Inundações,Hidrológico,1
MG-F-3156700-12100-20160925,Sabará,MG,2016-09-25,12100,3156700,Sudeste,Inundações,Hidrológico,1
MG-A-3156809-12200-20090130,Sabinópolis,MG,2009-01-30,12200,3156809,Sudeste,Enxurradas,Hidrológico,1
MG-A-3156809-12200-20090327,Sabinópolis,MG,2009-03-27,12200,3156809,Sudeste,Enxurradas,Hidrológico,1
MG-F-3156809-12100-20120105,Sabinópolis,MG,2012-01-05,12100,3156809,Sudeste,Inundações,Hidrológico,1
MG-A-3156809-12200-20120113,Sabinópolis,MG,2012-01-13,12200,3156809,Sudeste,Enxurradas,Hidrológico,1
MG-P-3156908-12100-20110302,Sacramento,MG,2011-03-02,12100,3156908,Sudeste,Inundações,Hidrológico,1
MG-A-3156908-12100-20110324,Sacramento,MG,2011-03-24,12100,3156908,Sudeste,Inundações,Hidrológico,1
MG-A-3157005-12200-20081112,Salinas,MG,2008-11-12,12200,3157005,Sudeste,Enxurradas,Hidrológico,1
MG-A-3157005-12200-20100305,Salinas,MG,2010-03-05,12200,3157005,Sudeste,Enxurradas,Hidrológico,1
MG-A-3157005-12200-20100406,Salinas,MG,2010-04-06,12200,3157005,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157005-12100-20200308,Salinas,MG,2020-03-11,12100,3157005,Sudeste,Inundações,Hidrológico,1
MG-D-3157203-12200-20111216,Santa Bárbara,MG,2011-12-16,12200,3157203,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157302-12100-20160127,Santa Bárbara do Tugúrio,MG,2016-01-27,12100,3157302,Sudeste,Inundações,Hidrológico,1
MG-F-3157302-12300-20200303,Santa Bárbara do Tugúrio,MG,2020-03-04,12300,3157302,Sudeste,Alagamentos,Hidrológico,1
MG-P-3157336-12200-20120109,Santa Cruz de Minas,MG,2012-01-09,12200,3157336,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157336-12200-20200213,Santa Cruz de Minas,MG,2020-02-25,12200,3157336,Sudeste,Enxurradas,Hidrológico,1
MG-A-3157401-12100-20081218,Santa Cruz do Escalvado,MG,2008-12-18,12100,3157401,Sudeste,Inundações,Hidrológico,1
MG-F-3157401-12100-20171204,Santa Cruz do Escalvado,MG,2017-12-04,12100,3157401,Sudeste,Inundações,Hidrológico,1
